ABus,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ACE,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
ACM,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Activity,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BIM 360 Locations,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
CloudOS 2.0,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
CSE.V2,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Derivative Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge - Webhooks,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge Content Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge HFDM,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Forge Reality Capture API,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
HDS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Identity,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
LEM,DPE-SPG,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Metering V2,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Notifications,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
OSS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
RaaS,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Revit Cloud Upgrade,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Search Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
Translation Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00,1.00
BIM 360 Insight,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.67,1.00,0.98
Forge - Locale service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,0.93,1.00,1.00,0.98
Forge - Subscription service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,1.00,0.93,1.00,1.00,0.98
Forge Schema Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,0.92,1.00,1.00,1.00,1.00,0.98
Ariba on Cloud,DPE-DBP,1.00,1.00,1.00,1.00,0.92,0.75,1.00,1.00,1.00,0.97
BIM 360 Design Collaboration,MCP-Construction,1.00,1.00,1.00,0.89,1.00,1.00,0.90,1.00,1.00,0.97
BIM 360 Reports,MCP-Construction,1.00,1.00,1.00,1.00,1.00,1.00,1.00,0.33,1.00,0.97
Computation Graph Service,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.85,1.00,1.00,1.00,1.00,0.97
Fusion Web,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,1.00,0.67,1.00,0.97
Fusion Workflow Service,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,0.90,1.00,1.00,0.97
Workflow Service,MCP-Cloud Platform,1.00,1.00,1.00,1.00,1.00,0.75,0.90,1.00,1.00,0.97
BIM 360 Data Platform,MCP-Construction,0.86,1.00,1.00,1.00,1.00,1.00,1.00,0.67,0.83,0.95
BIM 360 HQ,MCP-Construction,1.00,0.83,1.00,1.00,1.00,1.00,1.00,0.33,1.00,0.95
ECCR CORE API,DPE-SPG,1.00,1.00,1.00,1.00,0.85,1.00,0.93,1.00,1.00,0.95
Exchange AppStore,MCP-Cloud Platform,0.86,1.00,1.00,1.00,1.00,1.00,0.87,1.00,1.00,0.95
Fusion JS,MCP-Manufacturing,0.71,1.00,0.75,1.00,1.00,1.00,1.00,1.00,1.00,0.95
Fusion Lifecycle,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,1.00,0.90,0.67,1.00,0.95
Thunderstorm,DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.85,1.00,1.00,0.67,1.00,0.95
Concur,DPE-DBP,0.86,0.83,1.00,1.00,0.85,1.00,1.00,1.00,1.00,0.94
Fusion Abus Adapter,MCP-Manufacturing,0.86,1.00,1.00,1.00,0.92,0.75,0.90,1.00,1.00,0.94
WIPDM,MCP-Cloud Platform,1.00,1.00,0.75,1.00,0.85,1.00,1.00,0.67,1.00,0.94
BIM 360 Nucleus,MCP-Construction,1.00,1.00,1.00,1.00,0.92,1.00,0.73,1.00,1.00,0.92
Exchange Gallery,MCP-Cloud Platform,0.71,1.00,1.00,1.00,0.92,1.00,0.87,1.00,1.00,0.92
Forge - DM,MCP-Cloud Platform,1.00,0.83,1.00,0.75,0.77,1.00,1.00,1.00,1.00,0.92
Fusion Notification Service,MCP-Manufacturing,0.86,0.83,1.00,1.00,0.92,0.75,0.90,1.00,1.00,0.92
Ping Federate,MCP-Cloud Platform,1.00,1.00,1.00,1.00,0.92,0.50,1.00,0.67,0.83,0.92
Workday,DPE-DBP,0.57,1.00,1.00,1.00,0.92,1.00,1.00,0.67,1.00,0.92
BIM 360 Checklists,MCP-Construction,1.00,0.83,1.00,1.00,0.85,0.75,1.00,0.33,1.00,0.90
BIM DOS,MCP-Construction,1.00,1.00,1.00,1.00,0.85,1.00,0.73,1.00,1.00,0.90
Helium,MCP-Cloud Platform,1.00,0.83,1.00,1.00,0.85,1.00,0.93,0.67,0.83,0.90
Revit Cloud Worksharing (Collaboration for Revit - C4R),DCP-Building Infrastructure Design,1.00,1.00,1.00,1.00,0.69,0.75,1.00,0.67,1.00,0.90
BIM 360 Submittals & Workflows,MCP-Construction,1.00,0.83,1.00,1.00,0.77,0.75,1.00,0.33,1.00,0.89
BIM360 Photos,MCP-Cloud Platform,1.00,0.50,0.75,1.00,0.85,0.75,1.00,1.00,1.00,0.89
ASIMS,DPE-DAA,1.00,0.67,1.00,1.00,0.85,1.00,1.00,1.00,0.33,0.87
BIM 360 Daily Logs,MCP-Construction,1.00,0.67,1.00,0.50,0.92,0.75,1.00,0.33,1.00,0.87
BIM 360 Docs,MCP-Construction,1.00,1.00,1.00,1.00,0.54,1.00,1.00,0.33,1.00,0.87
FusionAnyCAD,MCP-Manufacturing,1.00,1.00,1.00,1.00,0.92,0.75,0.40,1.00,1.00,0.87
BIM 360 Apps,MCP-Construction,1.00,0.83,1.00,1.00,0.85,0.75,0.80,0.33,1.00,0.85
