"Date","Exercise","Sets","Reps","Weight","isWarmup","Note"
"2019-02-17","Barbell Curl",1,6,70,"",""
"2019-02-17","Barbell Curl",1,6,70,"",""
"2019-02-17","Barbell Curl",1,6,70,"",""
"2019-02-17","Barbell Curl",1,6,70,"",""
"2019-02-17","Barbell Curl",1,6,70,"",""
"2019-02-17","Decline Push Up",1,15,0,"",""
"2019-02-17","Decline Push Up",1,15,0,"",""
"2019-02-17","Decline Push Up",1,15,0,"",""
"2019-02-17","Reverse Barbell Curl",1,10,45,"",""
"2019-02-17","Reverse Barbell Curl",1,10,45,"",""
"2019-02-17","Reverse Barbell Curl",1,10,45,"",""
"2019-02-17","Dumbbell Fly",1,12,40,"",""
"2019-02-17","Dumbbell Fly",1,12,40,"",""
"2019-02-17","Dumbbell Fly",1,12,40,"",""
"2019-02-17","Dumbbell Fly",1,10,40,"",""
"2019-02-17","Stiff-Legged Barbell Good Morning",1,15,65,"",""
"2019-02-17","Stiff-Legged Barbell Good Morning",1,15,65,"",""
"2019-02-17","Stiff-Legged Barbell Good Morning",1,15,65,"",""
"2019-02-16","Pull Up",1,10,0,"",""
"2019-02-16","Pull Up",1,10,0,"",""
"2019-02-16","Pull Up",1,8,0,"",""
"2019-02-16","Pull Up",1,7,0,"",""
"2019-02-16","Dumbbell Shoulder Raise",1,6,25,"",""
"2019-02-16","Dumbbell Shoulder Raise",1,6,25,"",""
"2019-02-16","Dumbbell Shoulder Raise",1,6,25,"",""
"2019-02-16","Dumbbell Shoulder Raise",1,6,25,"",""
"2019-02-16","Dumbbell Shoulder Raise",1,6,25,"",""
"2019-02-16","Cable Lateral Raise",1,12,30,"",""
"2019-02-16","Cable Lateral Raise",1,10,30,"",""
"2019-02-16","Cable Lateral Raise",1,10,30,"",""
"2019-02-16","Cable Lateral Raise",1,8,30,"",""
"2019-02-16","Superman",1,15,0,"",""
"2019-02-16","Superman",1,15,0,"",""
"2019-02-16","Crunches",1,17,0,"",""
"2019-02-16","Crunches",1,17,0,"",""
"2019-02-10","Barbell Curl",1,6,70,"",""
"2019-02-10","Barbell Curl",1,6,70,"",""
"2019-02-10","Barbell Curl",1,6,70,"",""
"2019-02-10","Barbell Curl",1,6,70,"",""
"2019-02-10","Side Laterals to Front Raise",1,10,10,"",""
"2019-02-10","Side Laterals to Front Raise",1,10,10,"",""
"2019-02-10","Side Laterals to Front Raise",1,10,10,"",""
